DESHARNAIS

4

$TEAMEXP,$MANAGEREXP,$YEAREND,$LENGTH,$TRANSACTIONS,$ENTITIES,$POINTSNONADJUST,$ADJUSTMENT,$POINTSADJUST,$LANGUAGE,$EFFORT
4,61/19,1619/19,221/19,2237/19,3964/19,6201/19,845/19,6719/19,23/19,206108/19

4,311/84,7199/84,367/28,347/4,5786/21,30431/84,2455/84,4037/12,143/84,24923/4

1.23121387283,2.53757225434,85.7687861272,11.3063583815,128.994219653,78.1329479769,207.12716763,9.62427745665,152.687861272,2,3397.75144509
1.68928571429,1.62142857143,85.3107142857,9.93214285714,123.039285714,56.6035714286,179.642857143,18.7857142857,148.107142857,2,2903.95
47/39,17/13,85,69/13,7438/39,1143/13,10867/39,451/13,3613/13,1,240863/39

182/87,153/58,85,385/58,15358/87,2164/29,21850/87,1935/58,14345/58,1,31115/6

1.56730769231,1.28365384615,86,5.28365384615,84.5240384615,83.6826923077,168.206730769,14.2836538462,133.475961538,1.28365384615,2337.32692308
2.37419354839,1.68709677419,86,5.68709677419,93.8032258065,61.8967741935,155.7,14.6870967742,124.196774194,1.68709677419,2077.50967742
167/68,105/34,2927/34,803/68,230,122,352,2101/68,23471/68,2,117621/17

97/35,86/35,2991/35,48/5,5797/35,2768/35,1713/7,982/35,1632/7,2,19221/5

3.80327868852,4,82.4918032787,22.7213114754,384.573770492,182.672131148,567.245901639,38.8196721311,590.836065574,1.19672131148,8724.75409836
50/23,4,1991/23,279/23,6859/23,2234/23,9093/23,668/23,8605/23,65/23,49175/23

1.74380165289,4,85.7438016529,6.79338842975,292.421487603,111.504132231,403.925619835,36.2314049587,409.851239669,1,5615.38842975
1.26712328767,4,85.2671232877,10.1301369863,267.157534247,73.3698630137,340.52739726,34.801369863,340.732876712,1,5318.41780822
3/2,17/6,86,35/6,134/3,63/2,457/6,82/3,421/6,11/6,7175/6

2.92056074766,2.35981308411,86,5.35981308411,52.2429906542,32.9205607477,85.1635514019,28.2803738318,79.1635514019,1.35981308411,993.640186916
4,31/22,954/11,37/2,6445/22,1845/22,4145/11,75/2,773/2,1,107947/11

4,3.28181818182,85.4787878788,11.6333333333,242.390909091,110.706060606,353.096969697,30.6333333333,338.433333333,1,6317.60606061
1.57558139535,3.21220930233,84.4244186047,11.5145348837,126.148255814,69.5726744186,195.720930233,11.5145348837,150.994186047,2.21220930233,1908.09011628
0.602150537634,3.69892473118,85.3978494624,8.10752688172,108.139784946,52.5376344086,160.677419355,8.10752688172,118.870967742,2.69892473118,1066.55913978
55/14,53/14,1203/14,12,2153/7,3585/14,7891/14,236/7,3900/7,27/14,28929/2

96/31,40/31,2638/31,12,5770/31,3271/31,9041/31,942/31,8659/31,34/31,264831/31

22/9,47/18,1501/18,29/3,1994/9,73,2651/9,208/9,2344/9,16/9,3885/2

40/77,164/77,6458/77,522/77,2363/11,73,3166/11,106/11,16571/77,211/77,9695/11

3.33027522936,3,85,8.66972477064,83.119266055,86.5321100917,169.651376147,33.623853211,164.256880734,1,4950.02752294
37/10,3,85,83/10,687/10,125/2,656/5,194/5,666/5,1,7959/2

4,933/280,23987/280,12,2725/7,6947/40,157629/280,2917/70,168841/280,3,4392

4,343/86,7311/86,12,9967/43,14541/86,34475/86,1679/43,35887/86,3,62440/43

3.68103448276,4,85.3189655172,35.6810344828,850.11637931,223.61637931,1073.73275862,32.2456896552,1049.3362069,1.31896551724,20497.0862069
102/35,4,3013/35,1222/35,5347/7,6364/35,33099/35,981/35,31118/35,73/35,61104/5

-4/9,-5/9,782/9,70/9,2159/9,1280/9,3439/9,73/3,3070/9,1,17101/3

2.3865248227,1.70921985816,86.3226950355,6.64539007092,137.407801418,133.163120567,270.570921986,26.0319148936,244.858156028,1,4570.77659574
1.20297029703,3.79702970297,86.5940594059,8,120.346534653,49.3613861386,169.707920792,12.3762376238,131.693069307,1.79702970297,2643.43564356
109/64,211/64,2739/32,8,3563/32,2743/64,9869/64,67/8,1819/16,83/64,19579/8

0.28275862069,3.03793103448,85.6793103448,30.9827586207,240.386206897,260.144827586,500.531034483,46.4724137931,558.931034483,1,14885.7896552
26/17,143/68,5805/68,1577/68,198,9841/34,16573/34,2927/68,8972/17,1,681261/68

23/44,23/44,3807/44,90/11,860/11,4077/44,7517/44,303/11,3511/22,1,59325/22

0.273006134969,0.273006134969,86.273006135,6.18404907975,87.1717791411,90.9110429448,178.082822086,32.5398773006,175.073619632,1,2756.02453988
1.61538461538,2.58974358974,85.5897435897,17.8205128205,286.230769231,114.897435897,401.128205128,31.9487179487,392,1.79487179487,8095.41025641
3.30952380952,1.46031746032,84.4603174603,20.0793650794,201.523809524,103.603174603,305.126984127,26.3015873016,281.880952381,1.23015873016,5233.44444444
0.116071428571,-0.825892857143,84.2321428571,20.8973214286,138.245535714,137.544642857,275.790178571,22.9285714286,241.227678571,2.05803571429,3750.0625
1.52272727273,1.28409090909,87.0454545455,7.53409090909,129.102272727,71.4318181818,200.534090909,34.1818181818,195.511363636,2.76136363636,1436.11363636
1.32824427481,0.664122137405,86,13.6335877863,188.045801527,123.648854962,311.694656489,33.320610687,306.320610687,1,5735.03053435
15/26,15/52,86,35/4,5065/26,6293/52,16423/52,1635/52,15831/52,1,121079/26

37/17,37/17,4406/51,184/17,305/3,296/3,601/3,1192/51,3113/17,122/51,150136/51

3.39240506329,3.39240506329,86.7974683544,9.60759493671,149.898734177,84.8860759494,234.784810127,35.1265822785,239.050632911,2.79746835443,2600.5443038
22/9,59/18,787/9,124/9,1457/6,2885/18,3628/9,841/18,1369/3,31/18,124565/18

1.21649484536,3.89175257732,86.2164948454,8.86597938144,112.056701031,194.046391753,306.103092784,35.0567010309,308.979381443,1.10824742268,4423.24226804
1,1,5456/63,718/63,6760/63,5734/63,12494/63,1487/63,1226/7,107/63,170050/63

1,1,87.4597701149,10.5402298851,80.7471264368,68.316091954,149.063218391,24.4597701149,132.74137931,1.27011494253,2377.12643678
2.08536585366,2.91463414634,85,16.8719512195,215.237804878,125.652439024,340.890243902,34.9146341463,340.634146341,1,13952.9634146
157/42,53/42,85,403/28,2903/28,18121/84,13415/42,1397/42,6598/21,1,27839/6

2.09090909091,-0.636363636364,86.9545454545,10.1363636364,216.954545455,108.363636364,325.318181818,27.3636363636,300.090909091,1.95454545455,6547.54545455
3.89010989011,6.56043956044,86.0549450549,12.8351648352,77.5164835165,75.978021978,153.494505495,14.7692307692,123.769230769,1.05494505495,1887.61538462
2,83/47,4125/47,813/94,21697/94,1583/47,529/2,2731/94,23435/94,1,185647/47

2,88/97,8430/97,714/97,14851/97,12763/97,27614/97,3193/97,27140/97,1,363902/97

2.89545454545,3,85,6.10454545455,89.1363636364,51.4045454545,140.540909091,30.5363636364,133.613636364,1,3120.63181818
243/104,3,85,693/104,5507/52,6683/104,17697/104,1181/52,15349/104,1,316001/104

1.44166666667,2.1625,86,18.4166666667,380.0375,157.433333333,537.470833333,35.5333333333,554,1.72083333333,10590.6791667
0.401315789474,0.601973684211,86,8.01315789474,206.819078947,111.657894737,318.476973684,27.2105263158,304.315789474,1.20065789474,4498.90460526
3.328125,4,85.671875,35.328125,810.4140625,204.3828125,1014.796875,30.3046875,975.578125,1.671875,16687.78125
2.1797752809,4,86.8202247191,34.1797752809,681.224719101,141.797752809,823.02247191,23.9887640449,735.573033708,2.8202247191,4292.49438202
1.62195121951,3.24390243902,85.1890243902,15.3536585366,108.603658537,161.304878049,269.908536585,33.8109756098,266.341463415,1,5266.00609756
0.135135135135,0.27027027027,85.9324324324,4.94594594595,189.635135135,127.108108108,316.743243243,33.0675675676,310.945945946,1,5604.25675676
2.21875,2.828125,86.609375,9.609375,118.1875,49.578125,167.765625,16.03125,136.921875,2.390625,981.171875
1.21487603306,1.32231404959,86.1074380165,9.10743801653,140.272727273,40.041322314,180.314049587,25.0661157025,162.520661157,2.89256198347,757.809917355
2.73214285714,2.26785714286,86.2678571429,22.2410714286,173.732142857,311.866071429,485.598214286,25.5892857143,437.544642857,1,10945.9375
3.51923076923,1.48076923077,85.4807692308,17.125,174.519230769,290.221153846,464.740384615,32.6730769231,452.105769231,1,6601.60576923
2.45945945946,2.45945945946,86.1891891892,4.45945945946,96.4864864865,111.405405405,207.891891892,16.0810810811,167.540540541,1.72972972973,3150.37837838
19/14,19/14,2367/28,47/14,1359/28,1143/14,3645/28,128/7,3009/28,33/28,4989/2

3.63513513514,4,85.7297297297,15.2702702703,76.9594594595,248.810810811,325.77027027,24.8108108108,291.094594595,1.36486486486,6245.7027027
107/35,4,3041/35,494/35,529/35,13078/35,13607/35,747/35,1678/5,68/35,23258/5

1.72368421053,2.48245614035,86.5175438596,4.0350877193,65.798245614,47.100877193,112.899122807,23.3114035088,99.6929824561,1.75877192982,2127.53947368
3.84285714286,3.89523809524,85.1047619048,1.20952380952,41.780952381,59.1095238095,100.89047619,18.3666666667,84.1523809524,1.05238095238,896.3
3,5.93965517241,84.9396551724,9.81896551724,56.6637931034,263.646551724,320.310344828,18.8275862069,262.698275862,1.64655172414,6178.46551724
3,41/10,831/10,43/10,769/10,1489/30,1898/15,356/15,3337/30,31/30,7847/3

3.52631578947,4.84210526316,86.3157894737,22.5263157895,430.842105263,200.473684211,631.315789474,24.7368421053,571.578947368,2.15789473684,7796.89473684
2.06097560976,4.35365853659,87.2926829268,11.7804878049,272.585365854,118.414634146,391,20.8292682927,344.451219512,2.64634146341,3765.74390244
1,95/74,3177/37,375/37,27809/74,1818/37,31445/74,2009/74,14543/37,1,327033/74

1,89/56,1185/14,159/14,16511/56,705/14,19331/56,1469/56,8867/28,1,33627/8

1,2.55454545455,86.4454545455,7.10909090909,128.518181818,68.0454545455,196.563636364,25.6454545455,188.990909091,2,2712.37272727
1,2.33450704225,86.6654929577,6.66901408451,96.1725352113,53.7429577465,149.915492958,21.0246478873,138.602112676,2,2261.07394366
4,3.32242990654,85.3224299065,11.9672897196,110.686915888,223.85046729,334.537383178,41.0046728972,349.714953271,1.32242990654,9797.35046729
4,3.744,85.744,13.232,84.128,281.184,365.312,27.936,334.96,1.744,5840.072
87/64,73/32,5481/64,699/64,8149/64,4615/64,3191/16,195/16,4845/32,2,104307/32

1.71951219512,1.56097560976,85.2804878049,9.84146341463,122.646341463,55.1829268293,177.829268293,19.3902439024,147.804878049,2,2871.36585366
1.16483516484,1.24725274725,85,5.24725274725,191.362637363,88.5274725275,279.89010989,34.7527472527,279.313186813,1,6220.96153846
2.37984496124,3.06976744186,85,7.06976744186,171.92248062,70.3023255814,242.224806202,32.9302325581,237.395348837,1,4864.40310078
23/12,35/24,86,131/24,2125/24,297/4,3907/24,347/24,3107/24,35/24,13349/6

41/16,57/32,86,185/32,3071/32,909/16,4889/32,473/32,3905/32,57/32,16135/8

2.24295774648,3.51408450704,86.514084507,13.2992957746,273.436619718,150.957746479,424.394366197,32.8133802817,420.75,2,8993.61971831
2.63596491228,2.72807017544,85.7280701754,10.548245614,193.263157895,97.5087719298,290.771929825,29.2763157895,281.23245614,2,5164.15789474
3.10294117647,4,84.2426470588,18.1691176471,347.455882353,145.904411765,493.360294118,34.6176470588,497.691176471,1.89705882353,5893.63970588
2.23157894737,4,86.4210526316,12.5052631579,301.273684211,100.157894737,401.431578947,29.3894736842,381.8,2.76842105263,2371.15789474
113/58,4,4985/58,311/58,17589/58,3708/29,25005/58,2137/58,879/2,1,333081/58

97/75,4,6397/75,746/75,20141/75,1132/15,25801/75,872/25,5168/15,1,400106/75

43/22,59/22,86,125/22,518/11,703/22,1739/22,304/11,1607/22,37/22,24885/22

3.165625,2.278125,86,5.278125,53.55,33.165625,86.715625,28.44375,80.715625,1.278125,958.759375
4,1.77720207254,86.481865285,17.1502590674,283.015544041,89.1398963731,372.155440415,36.1502590674,377.051813472,1,9126.22279793
4,3.22887323944,85.514084507,11.8274647887,243.820422535,109.947183099,353.767605634,30.8274647887,339.792253521,1,6416.43661972
1.17307692308,3.41346153846,84.8269230769,10.1057692308,118.701923077,62.5288461538,181.230769231,10.1057692308,137.711538462,2.41346153846,1560.125
0.588235294118,3.70588235294,85.4117647059,8.05882352941,107.882352941,52.2941176471,160.176470588,8.05882352941,118.411764706,2.70588235294,1054.52941176
3.82214765101,3.46644295302,85.822147651,12,292.033557047,236.808724832,528.842281879,33.288590604,521.597315436,1.82214765101,13706.8691275
3.08227848101,1.24683544304,85.082278481,12,184.012658228,102.892405063,286.905063291,30.3291139241,274.481012658,1.08227848101,8439.74050633
3.42424242424,2.85606060606,83.1439393939,11.1363636364,224.984848485,73,297.984848485,29.9696969697,283.46969697,1.28787878788,2482.61363636
